Timestamp,Open,High,Low,Close,Volume
1483228800000,968.29,968.29,968.29,968.29,0.0
1483228860000,968.29,968.76,968.49,968.7,12993.0
1483228920000,968.7,968.7,967.2,968.43,73800.0
1483228980000,968.43,968.0,967.21,967.21,3500.0
1483229040000,967.21,967.21,966.74,966.97,15969.0
1483229100000,966.97,966.97,966.97,966.97,300.0
1483229160000,966.97,967.0,967.0,967.0,13231.0
1483229220000,967.0,966.89,966.89,966.89,500.0
1483229280000,966.89,966.89,966.89,966.89,0.0
1483229340000,966.89,966.89,966.89,966.89,0.0
1483229400000,966.89,966.89,966.89,966.89,0.0
1483229460000,966.89,966.89,966.89,966.89,0.0
1483229520000,966.89,966.64,966.05,966.05,12900.0
1483229580000,966.05,965.86,964.99,965.0,103237.0
1483229640000,965.0,965.0,965.0,965.0,0.0
1483229700000,965.0,964.86,964.86,964.86,8000.0
1483229760000,964.86,964.86,964.86,964.86,0.0
1483229820000,964.86,964.99,964.99,964.99,3000.0
1483229880000,964.99,964.8,964.8,964.8,1.0
1483229940000,964.8,964.8,964.8,964.8,0.0
1483230000000,964.8,964.8,964.8,964.8,0.0
1483230060000,964.8,964.8,964.8,964.8,0.0
1483230120000,964.8,964.8,964.8,964.8,0.0
1483230180000,964.8,964.8,964.8,964.8,0.0
1483230240000,964.8,964.8,964.8,964.8,0.0
1483230300000,964.8,964.8,964.8,964.8,0.0
1483230360000,964.8,964.8,964.8,964.8,0.0
1483230420000,964.8,965.09,965.08,965.08,5000.0
1483230480000,965.08,964.78,964.54,964.54,35000.0
1483230540000,964.54,964.54,964.54,964.54,0.0
1483230600000,964.54,964.92,964.91,964.91,8000.0
1483230660000,964.91,964.91,964.91,964.91,0.0
1483230720000,964.91,964.91,964.91,964.91,0.0
1483230780000,964.91,964.92,964.92,964.92,2500.0
1483230840000,964.92,964.92,964.92,964.92,0.0
1483230900000,964.92,965.01,965.01,965.01,1.0
1483230960000,965.01,967.38,965.57,967.38,59000.0
1483231020000,967.38,965.88,965.88,965.88,1.0
1483231080000,965.88,967.65,967.64,967.65,3000.0
1483231140000,967.65,967.77,967.77,967.77,7000.0
1483231200000,967.77,967.82,967.81,967.82,2500.0
1483231260000,967.82,967.82,967.82,967.82,0.0
1483231320000,967.82,967.82,967.82,967.82,0.0
1483231380000,967.82,967.82,967.82,967.82,0.0
1483231440000,967.82,967.82,967.82,967.82,0.0
1483231500000,967.82,967.08,967.08,967.08,50.0
1483231560000,967.08,967.4,967.4,967.4,50.0
1483231620000,967.4,967.4,967.4,967.4,0.0
1483231680000,967.4,967.4,967.4,967.4,0.0
1483231740000,967.4,967.4,967.4,967.4,0.0
1483231800000,967.4,967.4,967.4,967.4,0.0
1483231860000,967.4,967.4,967.4,967.4,0.0
1483231920000,967.4,967.4,967.4,967.4,0.0
1483231980000,967.4,967.4,967.4,967.4,0.0
1483232040000,967.4,967.9,967.87,967.9,7000.0
1483232100000,967.9,968.08,967.9,968.08,7000.0
1483232160000,968.08,968.08,968.08,968.08,0.0
1483232220000,968.08,966.89,966.89,966.89,1.0
1483232280000,966.89,968.0,968.0,968.0,1001.0
1483232340000,968.0,967.62,967.62,967.62,1.0
1483232400000,967.62,968.0,968.0,968.0,5.0
1483232460000,968.0,968.0,968.0,968.0,0.0
1483232520000,968.0,968.0,968.0,968.0,0.0
1483232580000,968.0,968.0,968.0,968.0,0.0
1483232640000,968.0,968.1,968.09,968.1,1002.0
1483232700000,968.1,968.1,968.1,968.1,0.0
1483232760000,968.1,968.1,968.1,968.1,0.0
1483232820000,968.1,968.1,968.1,968.1,0.0
1483232880000,968.1,967.62,967.62,967.62,2500.0
1483232940000,967.62,967.98,967.98,967.98,1000.0
1483233000000,967.98,967.96,967.62,967.62,1700.0
1483233060000,967.62,967.7,967.0,967.0,27888.0
1483233120000,967.0,967.0,967.0,967.0,1500.0
1483233180000,967.0,967.0,967.0,967.0,0.0
1483233240000,967.0,967.0,967.0,967.0,1100.0
1483233300000,967.0,967.0,966.29,966.29,4988.0
1483233360000,966.29,966.29,966.28,966.28,3068.0
1483233420000,966.28,966.28,966.28,966.28,0.0
1483233480000,966.28,966.28,966.28,966.28,0.0
1483233540000,966.28,966.28,966.28,966.28,0.0
1483233600000,966.28,966.28,966.28,966.28,0.0
1483233660000,966.28,966.28,966.28,966.28,0.0
1483233720000,966.28,966.28,966.28,966.28,0.0
1483233780000,966.28,966.29,966.0,966.0,5000.0
1483233840000,966.0,966.65,965.0,965.0,11271.0
1483233900000,965.0,966.66,965.0,965.0,14200.0
1483233960000,965.0,965.01,964.09,964.09,76593.0
1483234020000,964.09,964.0,964.0,964.0,1120.0
1483234080000,964.0,964.0,964.0,964.0,60.0
1483234140000,964.0,964.0,964.0,964.0,111.0
1483234200000,964.0,964.0,964.0,964.0,0.0
1483234260000,964.0,964.76,964.76,964.76,500.0
1483234320000,964.76,964.76,964.76,964.76,0.0
1483234380000,964.76,964.76,964.76,964.76,0.0
1483234440000,964.76,964.76,964.76,964.76,0.0
1483234500000,964.76,964.76,964.76,964.76,0.0
1483234560000,964.76,964.76,964.76,964.76,0.0
1483234620000,964.76,964.76,964.76,964.76,0.0
1483234680000,964.76,967.48,964.69,964.85,107021.0
1483234740000,964.85,966.25,964.85,966.25,529.0
